"","Point","Y1V1","Y2V1","Y1V2","Y2V2","Observed"
"540","UT-B05-P02",0,0,0,0,0
"541","UT-B05-P03",0,0,0,0,0
"542","UT-B05-P04",0,0,0,0,0
"543","UT-B05-P05",0,0,0,0,0
"544","UT-B05-P06",0,0,0,0,0
"545","UT-B05-P07",0,0,0,0,0
"546","UT-B05-P08",0,0,0,0,0
"547","UT-B05-P09",0,0,0,0,0
"548","UT-B05-P10",0,0,0,0,0
"549","UT-B05-P11",0,0,0,0,0
"550","UT-B05-P12",0,0,0,0,0
"551","UT-B05-P13",0,0,0,0,0
"552","UT-B05-P14",0,0,0,0,0
"553","UT-B05-P15",0,0,0,0,0
"554","UT-B05-P16",0,0,0,0,0
"555","UT-B06-P01",0,0,0,0,0
"556","UT-B06-P02",0,0,0,0,0
"557","UT-B06-P03",0,0,0,0,0
"558","UT-B06-P04",0,0,0,0,0
"559","UT-B06-P05",0,0,0,0,0
"560","UT-B06-P06",0,0,0,0,0
"561","UT-B06-P07",0,0,0,0,0
"562","UT-B06-P08",0,0,0,0,0
"563","UT-B06-P09",0,0,0,0,0
"564","UT-B06-P10",0,0,0,0,0
"565","UT-B06-P11",0,0,0,0,0
"566","UT-B06-P12",0,0,0,0,0
"567","UT-B06-P13",0,0,0,0,0
"568","UT-B06-P14",0,0,0,0,0
"569","UT-B06-P15",0,0,0,0,0
"570","UT-B06-P16",0,0,0,0,0
"571","UT-B08-P01",0,0,0,0,0
"572","UT-B08-P02",0,0,0,0,0
"573","UT-B08-P03",0,0,0,0,0
"574","UT-B08-P04",0,0,0,0,0
"575","UT-B08-P05",0,0,0,0,0
"576","UT-B08-P06",0,0,0,0,0
"577","UT-B08-P07",0,0,0,0,0
"578","UT-B08-P08",0,0,0,0,0
"579","UT-B08-P09",0,0,0,0,0
"580","UT-B08-P10",0,0,0,0,0
"581","UT-B08-P11",0,0,0,0,0
"582","UT-B08-P12",0,0,0,0,0
"583","UT-B08-P13",0,0,0,0,0
"584","UT-B08-P14",0,0,0,0,0
"585","UT-B08-P15",0,0,0,0,0
"586","UT-B08-P16",0,0,0,0,0
"587","UT-B15-P01",0,1,0,1,1
"588","UT-B15-P02",0,1,0,0,1
"589","UT-B15-P03",0,1,0,0,1
"590","UT-B15-P04",0,0,0,0,0
"591","UT-B15-P05",0,1,0,1,1
"592","UT-B15-P06",0,1,0,1,1
"593","UT-B15-P07",0,1,0,0,1
"594","UT-B15-P08",0,1,0,1,1
"595","UT-B15-P09",0,1,0,0,1
"596","UT-B15-P10",0,1,0,0,1
"597","UT-B15-P11",0,1,0,0,1
"598","UT-B15-P12",0,0,0,0,0
"599","UT-B15-P13",0,0,0,0,0
"600","UT-B15-P14",0,0,0,0,0
"601","UT-B15-P15",0,0,0,0,0
"602","UT-B15-P16",0,0,0,0,0
"603","UT-B16-P01",0,0,0,0,0
"604","UT-B16-P02",1,0,0,0,1
"605","UT-B16-P03",0,0,0,0,0
"606","UT-B16-P04",0,0,0,0,0
"607","UT-B16-P05",1,0,0,0,1
"608","UT-B16-P06",0,0,0,0,0
"609","UT-B16-P07",0,0,0,0,0
"610","UT-B16-P08",0,0,0,0,0
"611","UT-B16-P09",0,1,0,0,1
"612","UT-B16-P10",0,0,0,1,1
"613","UT-B16-P11",0,0,0,0,0
"614","UT-B16-P12",0,0,0,0,0
"615","UT-B16-P13",0,0,0,0,0
"616","UT-B16-P14",0,1,0,0,1
"617","UT-B16-P15",1,0,0,0,1
"618","UT-B16-P16",0,0,1,0,1
"619","UT-B17-P01",0,1,0,0,1
"620","UT-B17-P02",0,1,0,0,1
"621","UT-B17-P03",0,0,0,0,0
"622","UT-B17-P04",0,0,0,0,0
"623","UT-B17-P05",0,1,0,0,1
"624","UT-B17-P06",0,0,0,0,0
"625","UT-B17-P07",0,0,1,0,1
"626","UT-B17-P08",0,0,0,0,0
"627","UT-B17-P09",0,0,0,0,0
