"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"245","ID-B28-P09","09","ID-B28",272479.8835,4654536.397,-113.7475728,42.00998279,"B"
"246","ID-B28-P10","10","ID-B28",272725.4961,4654538.769,-113.744611,42.01007506,"B"
"247","ID-B28-P11","11","ID-B28",272971.1078,4654541.149,-113.7416491,42.01016732,"B"
"248","ID-B28-P12","12","ID-B28",273216.7188,4654543.537,-113.7386873,42.01025959,"B"
"249","ID-B28-P05","05","ID-B28",272477.4492,4654781.098,-113.747697,42.01218348,"B"
"250","ID-B28-P06","06","ID-B28",272723.0533,4654783.468,-113.7447352,42.01227575,"B"
"251","ID-B28-P07","07","ID-B28",272968.6566,4654785.848,-113.7417733,42.01236801,"B"
"252","ID-B28-P08","08","ID-B28",273214.2592,4654788.236,-113.7388115,42.01246027,"B"
"253","ID-B28-P01","01","ID-B28",272475.0156,4655025.79,-113.7478212,42.0143841,"B"
"254","ID-B28-P02","02","ID-B28",272720.6113,4655028.16,-113.7448593,42.01447636,"B"
"255","ID-B28-P03","03","ID-B28",272966.2061,4655030.539,-113.7418975,42.01456862,"B"
"256","ID-B28-P04","04","ID-B28",273211.8002,4655032.926,-113.7389357,42.01466088,"B"
"257","ID-B29-P13","13","ID-B29",286169.8522,4683756.427,-113.5931322,42.27671934,"B"
"258","ID-B29-P14","14","ID-B29",286419.8522,4683756.427,-113.5901035,42.27678783,"B"
"259","ID-B29-P15","15","ID-B29",286669.8522,4683756.427,-113.5870747,42.27685624,"B"
"260","ID-B29-P16","16","ID-B29",286919.8522,4683756.427,-113.5840459,42.27692457,"B"
"261","ID-B29-P09","09","ID-B29",286169.8522,4684006.427,-113.5932245,42.27896859,"B"
"262","ID-B29-P10","10","ID-B29",286419.8522,4684006.427,-113.5901956,42.27903709,"B"
"263","ID-B29-P11","11","ID-B29",286669.8522,4684006.427,-113.5871668,42.2791055,"B"
"264","ID-B29-P12","12","ID-B29",286919.8522,4684006.427,-113.5841379,42.27917383,"B"
"265","ID-B29-P05","05","ID-B29",286169.8522,4684256.427,-113.5933168,42.28121784,"B"
"266","ID-B29-P06","06","ID-B29",286419.8522,4684256.427,-113.5902878,42.28128634,"B"
"267","ID-B29-P07","07","ID-B29",286669.8522,4684256.427,-113.5872588,42.28135476,"B"
"268","ID-B29-P08","08","ID-B29",286919.8522,4684256.427,-113.5842299,42.28142309,"B"
"269","ID-B29-P01","01","ID-B29",286169.8522,4684506.427,-113.5934091,42.28346708,"B"
"270","ID-B29-P02","02","ID-B29",286419.8522,4684506.427,-113.59038,42.28353559,"B"
"271","ID-B29-P03","03","ID-B29",286669.8522,4684506.427,-113.5873509,42.28360401,"B"
"272","ID-B29-P04","04","ID-B29",286919.8522,4684506.427,-113.5843218,42.28367236,"B"
"273","ID-B30-P13","13","ID-B30",292169.8522,4686756.427,-113.5215165,42.30533342,"B"
"274","ID-B30-P14","14","ID-B30",292419.8522,4686756.427,-113.5184862,42.30540006,"B"
"275","ID-B30-P15","15","ID-B30",292669.8522,4686756.427,-113.5154559,42.30546661,"B"
"276","ID-B30-P16","16","ID-B30",292919.8522,4686756.427,-113.5124256,42.30553308,"B"
"277","ID-B30-P09","09","ID-B30",292169.8522,4687006.427,-113.5216063,42.30758279,"B"
"278","ID-B30-P10","10","ID-B30",292419.8522,4687006.427,-113.5185759,42.30764942,"B"
"279","ID-B30-P11","11","ID-B30",292669.8522,4687006.427,-113.5155455,42.30771598,"B"
